Title,Domestic_Total_Gross,UK_Total_Gross,Actors,Country,British,Genre,Budget
Charlie St. Cloud,31162545,2078312,"Zac Efron, Donal Logue, Kim Basinger, Amanda Crew, Ray Liotta","USA, Canada",0,Drama,44000000
Charlie Wilson's War,66661095,9096666,"Emily Blunt, Philip Seymour Hoffman, Tom Hanks, Amy Adams, Julia Roberts, John Slattery*","USA, Germany",1,Drama,75000000
Charlie and the Chocolate Factory,206459076,65842139,"Christopher Lee*, Johnny Depp, AnnaSophia Robb*, Freddie Highmore, Helena Bonham Carter","USA, UK, Australia",1,Adventure,150000000
Charlie's Angels: Full Throttle,100830111,19623936,"Drew Barrymore, Cameron Diaz, Bernie Mac, Lucy Liu, Rodrigo Santoro*, Justin Theroux, Crispin Glover, John Cleese*, Carrie Fisher*, Demi Moore, Robert Patrick, Matt LeBlanc*, Shia LaBeouf*, Luke Wilson*",USA,0,Action,120000000
Charlotte's Web,82985708,21667491,",  , Kathy Bates, Oprah Winfrey , (Voice), Dakota Fanning, John Cleese , Julia Roberts","USA, Germany",0,Family,85000000
Cheaper by the Dozen,138614544,12950898,"Piper Perabo, Steve Martin, Bonnie Hunt, Hilary Duff, Ashton Kutcher, Tom Welling",USA,0,Comedy,40000000
Cheaper by the Dozen 2,82571173,11100702,"Piper Perabo, Eugene Levy, Steve Martin, Bonnie Hunt, Hilary Duff, Taylor Lautner*, Tom Welling","USA, Canada",0,Comedy,
Chef,31424003,2584350,"John Leguizamo, Sofia Vergara, Jon Favreau, Scarlett Johansson, Bobby Cannavale, Oliver Platt, Dustin Hoffman, Robert Downey, Jr.",USA,0,Comedy,
Chernobyl Diaries,18119640,2551018,"uIngrid Bols\xf8 Berdal, u Dimitri Diatchenko, u Olivia Taylor Dudley, u Devin Kelley",USA,0,Horror,
Chicken Little,135386665,23557158,"(Voice), Garry Marshall*, Zach Braff*, Patrick Stewart*",USA,0,Animation,150000000
Children of Men,35552383,9203229,"Michael Caine, Clive Owen, Julianne Moore","USA, UK",1,Thriller,76000000
Choke,2926565,255520,"Sam Rockwell, Clark Gregg, Kelly Macdonald, Anjelica Huston",USA,1,Comedy,
Christmas with the Kranks,73780539,7779700,Tim Allen,USA,0,Comedy,60000000
Chronicle,64575175,10899971,"Dane DeHaan, Michael B. Jordan, Alex Russell",USA,0,Action,12000000
Cinderella,187178992,22231214,"Richard Madden, Helena Bonham Carter, Cate Blanchett, Stellan Skarsgard, Lily James, Hayley Atwell",USA,1,Fantasy,95000000
Cinderella Man,61649911,4178054,"Russell Crowe, Renee Zellweger, Rosemarie DeWitt*, Paul Giamatti",USA,0,Drama,88000000
Clash of the Titans,163214888,29242160,"Mads Mikkelsen, Sam Worthington, Ralph Fiennes, Alexa Davalos, Gemma Arterton, Nicholas Hoult*, Liam Neeson",USA,1,Fantasy,125000000
Clerks II,24148068,919288,"Rosario Dawson, Jason Mewes, (Cameo), Ben Affleck*, Kevin Smith",USA,0,Comedy,5000000
Click,137355633,15086867,"Adam Sandler, Kate Beckinsale, Jonah Hill*, Katie Cassidy*, Rob Schneider*, Christopher Walken, Nick Swardson*, (Cameo)",USA,1,Comedy,82500000
Closer,33987757,15885209,"Clive Owen, Natalie Portman, Julia Roberts, Jude Law","USA, UK",1,Romance,27000000
Cloudy with a Chance of Meatballs 2,119793567,20100028,",  , Andy Samberg*, Neil Patrick Harris*, Will Forte*, Benjamin Bratt*, Terry Crews* , (Voice), Bill Hader ",USA,0,Animation,78000000
Cloverfield,80048433,18663002,"Lizzy Caplan, Jessica Lucas, Mike Vogel",USA,0,Action,25000000
Coach Carter,67264877,3005306,"Samuel L. Jackson, Channing Tatum, Ashanti Douglas","USA, Germany",0,Drama,30000000
Coffee and Cigarettes,2198924,621513,"Cate Blanchett, Bill Murray, Roberto Benigni, Steve Coogan, Alfred Molina","USA, Japan, Italy",1,Comedy,
Cold Mountain,95636509,16651409,"Brendan Gleeson, Jena Malone*, Giovanni Ribisi*, Ray Winstone*, Cillian Murphy*, Lucas Black*, Donald Sutherland*, Philip Seymour Hoffman*, Nicole Kidman, Jude Law, Natalie Portman*, Renee Zellweger","USA, UK, Romania, Italy",1,Romance,79000000
Collateral,101005703,15364828,"Mark Ruffalo, Tom Cruise, Jamie Foxx, Bruce McGill, Jason Statham*, Javier Bardem*, Peter Berg, Jada Pinkett-Smith",USA,0,Crime,65000000
College Road Trip,45610425,810789,Martin Lawrence,USA,0,Comedy,
Conan the Barbarian,21295021,2200242,"Arnold Schwarzenegger, James Earl Jones, Max von Sydow, Sandahl Bergman",USA,0,Action,90000000
Confessions of a Dangerous Mind,16007718,1633162,"Sam Rockwell, Matt Damon*, Drew Barrymore, (Cameo), Brad Pitt*, Michael Cera*, George Clooney, Julia Roberts, Rutger Hauer, Maggie Gyllenhaal*","USA, Germany, Canada",0,Comedy,30000000
Confessions of a Teenage Drama Queen,29331068,792333,"Lindsay Lohan, Megan Fox*","USA, Germany",0,Comedy,
Confidence,12251640,1844828,"Luis Guzman, Donal Logue, Rachel Weisz, Morris Chestnut, Dustin Hoffman, Edward Burns, Paul Giamatti","USA, Canada, Germany",1,Thriller,15000000
Connie and Carla,8085771,799490,"Nia Vardalos, Toni Collette, David Duchovny",USA,0,Comedy,27000000
Constantine,75976178,12833131,"Djimon Hounsou, Shia LaBeouf, Keanu Reeves, Tilda Swinton, Rachel Weisz","USA, Germany",1,Horror,100000000
Contagion,75658097,8640500,"Matt Damon, Sanaa Lathan, Laurence Fishburne, Kate Winslet, Marion Cotillard, Jude Law, Bryan Cranston, Gwyneth Paltrow","USA, United Arab Emirates",1,Action,60000000
Contraband,66528000,3312446,"Ben Foster, Giovanni Ribisi, Kate Beckinsale, Diego Luna, J.K. Simmons, Mark Wahlberg, Lukas Haas","USA, UK, France",1,Thriller,25000000
Conviction,6783129,442904,"Sam Rockwell, Melissa Leo, Juliette Lewis, Hilary Swank, Peter Gallagher, Clea DuVall, Minnie Driver",USA,1,Drama,12500000
Couples Retreat,109204945,8999415,"Vince Vaughn, Kristen Bell, Kristin Davis, Jon Favreau, Malin Akerman, Jean Reno, Jason Bateman",USA,0,Comedy,70000000
Cradle 2 the Grave,34712347,1924621,"Jet Li, Tom Arnold",USA,0,Action,25000000
Crank,27838408,2933706,"Jason Statham, Amy Smart",USA,1,Action,12000000
Crank: High Voltage,13684249,1859343,"Jason Statham, Bai Ling, Jamie Harris, Amy Smart, Corey Haim",USA,1,Action,
Crazy Heart,39464306,1479176,"Colin Farrell, Maggie Gyllenhaal, Jeff Bridges, Robert Duvall",USA,0,Drama,7000000
"Crazy, Stupid, Love.",84351197,5389221,"John Carroll Lynch, Joey King, Emma Stone, Crystal Reed*, Julianne Moore, Marisa Tomei, Kevin Bacon, Ryan Gosling, Steve Carell, Analeigh Tipton, Josh Groban",USA,0,Comedy,50000000
Cry Wolf,10047674,563911,"Errol Flynn, Barbara Stanwyck, Geraldine Brooks, Richard Basehart",USA,0,Horror,1000
Curious George,58360760,2731997,"Will Ferrell, Drew Barrymore, (Voice)",USA,0,Animation,50000000
Cursed,19297522,834672,"Christina Ricci, Jesse Eisenberg","USA, Germany",0,Horror,38000000
Cyrus,7468936,1936218,"Marisa Tomei, John C. Reilly, Jonah Hill, Catherine Keener",USA,0,Comedy,7000000
DOA: Dead or Alive,480813,976655,"Jaime Pressly, Devon Aoki, Holly Valance, Sarah Carter","USA, Germany, UK",0,Action,
Daddy Day Camp,13235267,1085756,"Cuba Gooding, Jr.",USA,0,Comedy,
Daddy Day Care,104297061,8085784,Eddie Murphy,USA,0,Comedy,60000000
Dallas Buyers Club,27298285,8755794,"Matthew McConaughey, Jennifer Garner, Jared Leto",USA,0,Drama,5000000
Dan in Real Life,47642963,3124287,"Emily Blunt, Amy Ryan, Dianne Wiest, Dane Cook, Steve Carell, Juliette Binoche",USA,1,Comedy,
Dark Blue,9250301,427159,"Brendan Gleeson, Kurt Russell","USA, UK, Germany",0,Action,15000000
Dark Shadows,79727149,10920177,"Bella Heathcote, Helena Bonham Carter, Christopher Lee*, Eva Green, Jonny Lee Miller, Chloe Moretz, Jackie Earle Haley, Johnny Depp, Michelle Pfeiffer","USA, Australia",1,Horror,150000000
Dark Skies,17418667,3262258,"Keri Russell, Josh Hamilton, Dakota Goyo, Kadan Rockett",USA,0,Thriller,3500000
Dark Water,25473352,2570428,"Jennifer Connelly, John C. Reilly",USA,0,Horror,
Darkness,22163442,460149,"Lena Olin, Anna Paquin","USA, Spain",0,Horror,10600000
Date Movie,48548426,8762281,"Eddie Griffin, Jennifer Coolidge, Alyson Hannigan","USA, Switzerland",0,Comedy,20000000
Date Night,98711404,5518097,"James Franco, Taraji P. Henson, Tina Fey, Leighton Meester, Mark Ruffalo*, Common, Mila Kunis, Steve Carell, Mark Wahlberg, Kristen Wiig*",USA,0,Comedy,55000000
Dawn of the Dead,59020957,10082684,"Sarah Polley, Ty Burrell, Mekhi Phifer, Ving Rhames, Jake Weber","USA, Canada, Japan, France",0,Horror,26000000
Dawn of the Planet of the Apes,208545589,55198182,"Gary Oldman, Kodi Smit-McPhee, Andy Serkis, Keri Russell, Jason Clarke, Judy Greer*",USA,1,Action,170000000
De-Lovely,13456633,824807,"Jonathan Pryce, Kevin McNally, Kevin Kline, Ashley Judd","USA, UK",1,Drama,15000000
Dead Man Down,10895295,1023651,"Isabelle Huppert, Colin Farrell, Dominic Cooper, Noomi Rapace, Terrence Howard",USA,1,Thriller,
Dear John,80014842,7918385,"Amanda Seyfried, Richard Jenkins, Channing Tatum",USA,0,Romance,25000000
Death Race,36316032,3696666,"Jason Statham, Tyrese Gibson, Ian McShane, Joan Allen","USA, Germany, UK",1,Action,45000000
Death Sentence,9534258,1169442,"Kelly Preston, John Goodman, Kevin Bacon, Garrett Hedlund, Aisha Tyler",USA,0,Action,
Death at a Funeral,8580428,1909738,"Matthew Macfadyen, Keeley Hawes, Andy Nyman, Ewen Bremner","USA, Germany, UK, Netherlands",1,Comedy,9000000
Deception,4598506,1019414,"Michelle Williams, Ewan McGregor, Hugh Jackman, Maggie Q",USA,1,Thriller,
Deck the Halls,35093569,3945357,"Danny DeVito, Matthew Broderick",USA,0,Comedy,
Deja Vu,64038616,10049687,"Bruce Greenwood, Denzel Washington, Paula Patton, Val Kilmer, James Caviezel, Adam Goldberg, Elden Henson","USA, UK",0,Thriller,75000000
Deliver Us From Evil,30577122,2149207,"Joel McHale, Eric Bana, Edgar Ramirez, Olivia Munn",USA,0,Horror,30000000
Delivery Man,30664106,5146759,"Vince Vaughn, Chris Pratt, Britt Robertson, Cobie Smulders",USA,0,Comedy,26000000
Derailed,36024076,4059799,"Clive Owen, Jennifer Aniston, David Oyelowo*","USA, UK",1,Thriller,22000000
Despicable Me,83320932,32283987,",  , Jason Segel, (Voice), Russell Brand, Steve Carell, Mindy Kaling*, Will Arnett* , Kristen Wiig*",USA,1,Animation,69000000
Despicable Me 2,368061265,72278042,",  , Kristen Wiig, Ken Jeong , Benjamin Bratt, (Voice), Russell Brand, Steve Carell",USA,1,Animation,76000000
Deuce Bigalow: European Gigolo,22400154,1501705,"(Cameo), Rob Schneider, Adam Sandler*, Eddie Griffin",USA,0,Comedy,22000000
Devil,33601190,4477471,"Chris Messina, Geoffrey Arend",USA,0,Horror,
Devil's Due,15821461,3497595,"Allison Miller, Zach Gilford, Sam Anderson, Roger Payano",USA,0,Horror,7000000
Diary of a Wimpy Kid,64003625,4283601,"Chloe Moretz, Zachary Gordon, Devon Bostick, Steve Zahn, Rachael Harris",USA,0,Comedy,15000000
Diary of a Wimpy Kid: Dog Days,49008662,12925088,"Steve Zahn, Zachary Gordon, Devon Bostick, Rachael Harris","USA, Canada",0,Comedy,22000000
Diary of a Wimpy Kid: Rodrick Rules,52698535,8507987,"Steve Zahn, Zachary Gordon, Devon Bostick, Rachael Harris",USA,0,Comedy,21000000
Did You Hear About the Morgans?,29580087,5567152,"Hugh Grant, Sarah Jessica Parker, Elisabeth Moss",USA,1,Comedy,58000000
Disaster Movie,14190901,5400013,"Matt Lanter, Vanessa Lachey, ""Gary G. Thang Johnson"", Nicole Parker",USA,0,Comedy,20000000
District 9,115646235,14511508,Sharlto Copley,"USA, New Zealand, Canada, South Africa",0,Sci-Fi,30000000
Disturbia,80209692,3574828,"Carrie-Anne Moss, Viola Davis, David Morse, Sarah Roemer, Shia LaBeouf",USA,0,Drama,20000000
Divergent,150947895,11110379,"Tony Goldwyn, Ashley Judd, Miles Teller, Kate Winslet, Maggie Q, Shailene Woodley, Ansel Elgort, Theo James, Jai Courtney, Ray Stevenson",USA,1,Action,85000000
Django Unchained,162805434,24893462,"Don Johnson, Christoph Waltz, Kerry Washington, Samuel L. Jackson, Walton Goggins*, Dennis Christopher, Jamie Foxx, Jonah Hill*, Leonardo DiCaprio, James Remar*",USA,0,Western,100000000
DodgeBall: A True Underdog Story,114326736,18111160,"Jason Bateman*, Vince Vaughn, (Cameo), Joel David Moore, Ben Stiller, Christine Taylor, Justin Long","USA, Germany",0,Comedy,20000000
Dolphin Tale,72286779,3714821,"Morgan Freeman, Kris Kristofferson, Harry Connick Jr., Ashley Judd",USA,0,Family,37000000
Dolphin Tale 2,42024533,2618363,"Morgan Freeman, Kris Kristofferson, Harry Connick Jr., Ashley Judd",USA,0,Family,36000000
Don Jon,24477704,1296985,"Julianne Moore, Joseph Gordon-Levitt, Tony Danza, Brie Larson, Scarlett Johansson",USA,0,Comedy,3000000
Don't Be Afraid of the Dark,24046682,2066447,"Katie Holmes, Guy Pearce","USA, Australia, Mexico",0,Horror,25000000
Doogal,7417319,10957566,",  , (Voice), Jim Broadbent*, Bill Nighy* , Ian McKellen*","USA, UK, France",0,Animation,
Down with Love,20305251,3484385,"Ewan McGregor, Renee Zellweger","USA, Germany",1,Comedy,
Dracula Untold,56280355,7840174,"Dominic Cooper, Sarah Gadon, Samantha Barks, Charles Dance, Charlie Cox, Luke Evans",USA,1,Action,70000000
Drag Me to Hell,42100625,10503062,"David Paymer, Alison Lohman, Justin Long",USA,0,Horror,30000000
Dream House,21302340,1288780,"Naomi Watts, Marton Csokas, Daniel Craig, Rachel Weisz","USA, Canada",1,Thriller,50000000
Dreamer: Inspired by a True Story,32751093,1198556,"Kurt Russell, Dakota Fanning",USA,0,Family,32000000
Dreamgirls,103365956,7483647,"Eddie Murphy, Beyonce Knowles, Danny Glover, Jamie Foxx, Sharon Leal, John Krasinski*",USA,0,Drama,
Drillbit Taylor,32862104,4452750,"Owen Wilson, Leslie Mann, Danny McBride*, Kevin Hart*",USA,0,Comedy,
Drive,35060689,4693696,"Ryan Gosling, Oscar Isaac, Albert Brooks, Carey Mulligan, Ron Perlman, Bryan Cranston, Christina Hendricks",USA,1,Action,15000000
Drive Angry,10721033,2026367,"Nicolas Cage, Amber Heard, William Fichtner, Billy Burke, David Morse",USA,0,Action,
Due Date,100539043,16344250,"RZA*, Danny McBride*, Michelle Monaghan, Juliette Lewis, Charlie Sheen*, Jamie Foxx, Zach Galifianakis, Robert Downey, Jr.",USA,0,Comedy,65000000
Dumb and Dumber To,86208010,9118292,"Jim Carrey, Rob Riggle, Jeff Daniels, Kathleen Turner, Laurie Holden",USA,0,Comedy,40000000
Dumb and Dumberer: When Harry Met Lloyd,26276465,2785648,"Eugene Levy, Luis Guzman, Eric Christian Olsen, Mimi Rogers, Derek Richardson, Shia LaBeouf*, Cheri Oteri",USA,0,Comedy,19000000
Duplex,9692135,258973,"Danny DeVito*, Ben Stiller, Drew Barrymore, (Narrator)","USA, Germany",0,Comedy,40000000
Duplicity,40572825,613906,"Clive Owen, Tom Wilkinson, Julia Roberts, Paul Giamatti","USA, Germany",1,Thriller,60000000
Eagle Eye,101440743,5531081,"Billy Bob Thornton, Michelle Monaghan, Michael Chiklis, Rosario Dawson, Ethan Embry, Anthony Mackie, Shia LaBeouf","USA, Germany",0,Thriller,80000000
Earth to Echo,38934842,4842885,"Teo Halm, Astro, Reese Hartwig, Ella Wahlestedt",USA,0,Adventure,13000000
Eastern Promises,17266000,4399217,"Naomi Watts, Viggo Mortensen","USA, UK, Canada",0,Drama,
Easy A,58401464,1241489,"Lisa Kudrow, Cam Gigandet, Patricia Clarkson, Penn Badgley, Emma Stone, Thomas Haden Church, Alyson Michalka, Malcolm McDowell, Amanda Bynes, Stanley Tucci",USA,1,Comedy,8000000
Eat Pray Love,80574010,7371485,"James Franco, Viola Davis, Billy Crudup, Richard Jenkins, Julia Roberts, Javier Bardem",USA,0,Drama,60000000
Edge of Tomorrow,100206256,13304522,"Emily Blunt, Bill Paxton, Brendan Gleeson, Tom Cruise","USA, Canada",1,Action,178000000
Eight Below,81612565,2102130,"Bruce Greenwood, Jason Biggs, Paul Walker",USA,0,Adventure,40000000
Elegy,3581642,490114,"Penelope Cruz, Ben Kingsley",USA,1,Drama,
Elephant,1266955,357998,"Alex Frost, Eric Deulen, John Robinson, Elias McConnell",USA,0,Drama,
Elizabethtown,26850426,2848129,"Jessica Biel, Orlando Bloom, Alec Baldwin, Susan Sarandon, Kirsten Dunst",USA,1,Comedy,45000000
Ella Enchanted,22918387,1517761,"Steve Coogan*, Cary Elwes, Anne Hathaway, (Voice)","USA, Ireland, UK",1,Adventure,31000000
Elysium,93050117,14040874,"Matt Damon, Sharlto Copley, Alice Braga, Diego Luna, Jodie Foster, William Fichtner",USA,0,Sci-Fi,115000000
Employee of the Month,28444855,7076703,"Dane Cook, Jessica Simpson, Dax Shepard, Andy Dick",USA,0,Comedy,12000000
Enchanted,127807262,33741022,"James Marsden, Amy Adams, Susan Sarandon",USA,0,Adventure,85000000
End of Watch,41003371,3018778,"Michael Pena, Jake Gyllenhaal, Frank Grillo, Anna Kendrick, America Ferrera, Cody Horn",USA,0,Drama,7000000
Ender's Game,61737191,4790708,"Hailee Steinfeld, Viola Davis, Ben Kingsley, Harrison Ford, Abigail Breslin, Asa Butterfield",USA,1,Sci-Fi,110000000
Endless Love,23438250,2864318,"Bruce Greenwood, Joely Richardson, Alex Pettyfer, Gabriella Wilde, Rhys Wakefield, Robert Patrick",USA,1,Romance,20000000
Enough Said,17550872,809422,"Toni Collette, Catherine Keener, Julia Louis-Dreyfus, James Gandolfini",USA,0,Comedy,
Enron: The Smartest Guys in the Room,4071700,303736,"John Beard, Tim Belden, Barbara Boxer, George W. Bush",USA,0,Documentary,
Epic,107518682,20981796,",  , Jason Sudeikis, (Voice), Josh Hutcherson, Beyonce Knowles, Amanda Seyfried, Judah Friedlander , Steven Tyler , Aziz Ansari, Colin Farrell",USA,0,Animation,100000000
Epic Movie,39739367,10120019,"Kal Penn, Jennifer Coolidge",USA,0,Comedy,
Eragon,75030163,11027251,"(Voice), Jeremy Irons, Djimon Hounsou, Rachel Weisz*, Robert Carlyle, Garrett Hedlund, Sienna Guillory, John Malkovich","USA, UK, Hungary",1,Fantasy,100000000
Escape From Planet Earth,57012977,1860356,", Brendan Fraser,  , Rob Corddry , (Voice), Sofia Vergara , Jessica Alba","USA, Canada",0,Animation,40000000
Escape Plan,25135965,4524887,"James Caviezel, Sam Neill, Arnold Schwarzenegger, 50 Cent, Vinnie Jones, Amy Ryan, ""Vincent DOnofrio"", Sylvester Stallone",USA,1,Action,
Eternal Sunshine of the Spotless Mind,34400301,9042700,"Mark Ruffalo, Kirsten Dunst, Jim Carrey, Kate Winslet, Tom Wilkinson, Elijah Wood",USA,1,Comedy,20000000
Eurotrip,17771387,924844,"Matt Damon*, Michelle Trachtenberg, (Cameo)",USA,0,Comedy,25000000
Evan Almighty,100462298,12173462,"John Michael Higgins, Wanda Sykes, Morgan Freeman, John Goodman, Lauren Graham, Jonah Hill, Steve Carell, Ed Helms*",USA,0,Comedy,175000000
Evil Dead,54239856,5252030,"Lou Taylor Pucci, Jane Levy, Shiloh Fernandez, Elizabeth Blackmore, Jessica Lucas",USA,0,Horror,17000000
Exorcist: The Beginning,41821986,2257660,Stellan Skarsgard,USA,0,Horror,80000000
Extremely Loud & Incredibly Close,31847881,1099134,"Sandra Bullock, Viola Davis, Tom Hanks, John Goodman, Max von Sydow, Jeffrey Wright, Thomas Horn, James Gandolfini",USA,0,Drama,
Factory Girl,1675241,964048,"Sienna Miller, Guy Pearce, Mary Elizabeth Winstead, Jimmy Fallon, Hayden Christensen",USA,1,Drama,
Fading Gigolo,3769873,922878,"Liev Schreiber, Sharon Stone, Woody Allen, Sofia Vergara, John Turturro",USA,0,Comedy,
Fahrenheit 9/11,119194771,12170145,"Ben Affleck, Stevie Wonder, George W. Bush, James Baker III",USA,0,Documentary,6000000
Failure to Launch,88715192,5175605,"Matthew McConaughey, Justin Bartha, Kathy Bates, Sarah Jessica Parker, Zooey Deschanel, Bradley Cooper",USA,0,Comedy,50000000
Fair Game,9540691,1125856,"Naomi Watts, Sam Shepard, Bruce McGill, Ty Burrell, Noah Emmerich, Sean Penn","USA, United Arab Emirates",0,Action,22000000
Fame,22455510,14308999,Naturi Naughton,USA,0,Drama,18000000
Fantastic Four,154696080,22594480,"Julian McMahon, Jessica Alba, Michael Chiklis, Chris Evans, Ioan Gruffudd","USA, Germany",1,Action,100000000
Fantastic Four: Rise of the Silver Surfer,131921738,24658755,"Julian McMahon, Kerry Washington, Laurence Fishburne*, (Voice), Chris Evans, Michael Chiklis, Jessica Alba, Andre Braugher, Ioan Gruffudd",USA,1,Action,130000000
Far From Heaven,15901849,2076403,"Dennis Haysbert, Julianne Moore, Viola Davis, Dennis Quaid, Patricia Clarkson","USA, France",0,Drama,13500000
Fast & Furious 6,238679850,38277406,"The Rock, ""Chris Ludacris Bridges"", Michelle Rodriguez, Paul Walker, Jordana Brewster, Vin Diesel, Gina Carano, Tyrese Gibson, Luke Evans",USA,1,Action,160000000
Fast Five,209837675,30243825,"The Rock, ""Chris Ludacris Bridges"", Paul Walker, Jordana Brewster, Vin Diesel, Tyrese Gibson",USA,0,Action,125000000
Faster,23240020,488515,"The Rock, Billy Bob Thornton, Maggie Grace, Tom Berenger, Moon Bloodgood, Mike Epps, Carla Gugino, Jennifer Carpenter",USA,0,Action,24000000
Fever Pitch,42071069,1374126,"Drew Barrymore, Jimmy Fallon","USA, Germany",0,Comedy,30000000
Fifty Shades of Grey,165982915,51603774,"Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford",USA,0,Romance,40000000
Fighting,23091010,3341473,"Channing Tatum, Terrence Howard",USA,0,Action,
Final Destination 2,46961214,9328951,Ali Larter,"USA, Canada",0,Horror,
Final Destination 5,42587643,8813747,"""Nicholas DAgosto"", Emma Bell, Miles Fisher, Ellen Wroe","USA, Canada",0,Horror,40000000
Finding Nemo,339714978,67117404,"Willem Dafoe*, Geoffrey Rush*, Eric Bana*, (Voice), Albert Brooks, Ellen DeGeneres",USA,0,Animation,
Finding Neverland,51680613,6630045,"Kate Winslet, Julie Christie, Freddie Highmore, Dustin Hoffman, Radha Mitchell, Johnny Depp","USA, UK",1,Drama,25000000
Firehouse Dog,13932383,636968,Josh Hutcherson,"USA, Canada",0,Comedy,
Firewall,48751189,2234517,"Virginia Madsen, Harrison Ford, Paul Bettany","USA, Australia",1,Thriller,
First Daughter,9055921,343566,"Katie Holmes, Forest Whitaker, Michael Keaton",USA,0,Comedy,
Flags of Our Fathers,33602376,1375359,"John Slattery, Paul Walker, Neal McDonough, Ryan Phillippe, Jesse Bradford, Barry Pepper, Jamie Bell, Robert Patrick, Adam Beach",USA,1,War,90000000
Flight,93772375,7535112,"Don Cheadle, Melissa Leo, John Goodman, Bruce Greenwood, Denzel Washington",USA,0,Drama,31000000
Flight of the Phoenix,21009180,1057535,"Tyrese Gibson, Giovanni Ribisi, Dennis Quaid, Miranda Otto, Hugh Laurie",USA,1,Adventure,45000000
Flightplan,89707299,11046764,"Sean Bean, Jodie Foster, Erika Christensen, Peter Sarsgaard",USA,1,Thriller,
Focus,53659191,10972916,"Margot Robbie, Rodrigo Santoro, Will Smith",USA,0,Comedy,50100000
Fool's Gold,70231041,4753969,"Matthew McConaughey, Kate Hudson, Donald Sutherland, Kevin Hart",USA,0,Adventure,70000000
Footloose,51802742,2311784,"Andie MacDowell, Miles Teller, Kenny Wormald, Dennis Quaid, Julianne Hough",USA,0,Drama,24000000
Forgetting Sarah Marshall,63172463,15123663,"Jason Bateman*, Jason Segel, (Cameo), Kristen Bell, Bill Hader, Paul Rudd, Jonah Hill, Mila Kunis, Russell Brand, Kristen Wiig*",USA,1,Comedy,30000000
Four Brothers,74494381,4451373,"Taraji P. Henson, Garrett Hedlund, Terrence Howard, Tyrese Gibson, Mark Wahlberg, Andre Benjamin",USA,0,Action,45000000
Fracture,39015018,6684382,"David Strathairn, Billy Burke, Cliff Curtis, Zoe Kazan, Ryan Gosling, Embeth Davidtz, Rosamund Pike, Anthony Hopkins","USA, Germany",1,Thriller,
Frankenweenie,35291068,3708854,", (Voice), ""Catherine OHara "",  , Martin Landau ",USA,0,Animation,39000000
Freaky Friday,110230332,11982475,Lindsay Lohan,USA,0,Comedy,20000000
Fred Claus,72006777,13344768,"Vince Vaughn, ""Chris Ludacris Bridges"", Kathy Bates, Kevin Spacey, Elizabeth Banks, Rachel Weisz, Jeffrey Dean Morgan*, Paul Giamatti",USA,1,Comedy,
Freddy Vs. Jason,82622655,4381229,"Michael Buffer, Sean S. Cunningham, Robert Englund, Ken Kirzinger",USA,0,Horror,30000000
Free Birds,55750480,4380164,",  , Woody Harrelson, (Voice), Owen Wilson, Keith David , Amy Poehler ",USA,0,Animation,55000000
Friends with Benefits,55802754,10220125,"Rashida Jones*, Andy Samberg*, Patricia Clarkson, Woody Harrelson, Mila Kunis, Richard Jenkins, Emma Stone*, Jenna Elfman, Justin Timberlake, Jason Segel*",USA,0,Comedy,35000000
Friends with Kids,7251073,1598544,"Maya Rudolph, Kristen Wiig, Adam Scott, Edward Burns, Jennifer Westfeldt, Jon Hamm, Megan Fox",USA,0,Comedy,
Friends with Money,13368437,889902,"Frances McDormand, Jennifer Aniston, Ty Burrell*, Joan Cusack, Catherine Keener",USA,0,Comedy,6500000
Fright Night,18302607,2932512,"Christopher Mintz-Plasse, Imogen Poots, David Tennant, Toni Collette, Anton Yelchin, Colin Farrell",USA,1,Horror,30000000
Frozen,400738009,64733660,"Jonathan Groff , ,  , Kristen Bell, (Voice), Alan Tudyk ",USA,0,Animation,150000000
Fun Size,9409538,863400,"Chelsea Handler, Johnny Knoxville, Jane Levy, Victoria Justice, Thomas Mann",USA,0,Comedy,14000000
Fun with Dick and Jane,110332737,12250387,"Jim Carrey, Tea Leoni, Alec Baldwin",USA,0,Comedy,100000000
Funny Games,1294919,402675,"Naomi Watts, Brady Corbet, Tim Roth, Michael Pitt","USA, France, UK, Austria, Germany, Italy",1,Horror,
Furry Vengeance,17630465,4774224,"Rob Riggle*, Brendan Fraser, (Cameo)","USA, United Arab Emirates",0,Comedy,35000000
Fury,85817906,12742222,"Michael Pena, Logan Lerman, Brad Pitt, Jon Bernthal, Jason Isaacs, Shia LaBeouf","USA, China, UK",1,War,68000000
G-Force,119436770,22011541,"Nicolas Cage*, Steve Buscemi* , Bill Nighy, Sam Rockwell*, ,  , (Voice), Penelope Cruz*, Jon Favreau*, Will Arnett, Zach Galifianakis",USA,1,Adventure,150000000
G.I. Joe: Retaliation,122523060,11544884,"The Rock, Adrianne Palicki, Ray Stevenson, Jonathan Pryce, Bruce Willis, Channing Tatum, Luke Bracey*",USA,1,Action,130000000
Gamer,20534907,1883440,"John Leguizamo, ""Chris Ludacris Bridges"", Logan Lerman, Terry Crews, Milo Ventimiglia, Michael C. Hall, Alison Lohman, Kyra Sedgwick, Gerard Butler",USA,1,Action,
